LabelName,DisplayName,Top1Name,Top1Value
/m/0_cp5,Oyster,Lobster,0.7183272838592529
/m/0_dqb,Chisel,Chime,0.5892739295959473
/m/0_k2,Ant,Cat,0.658929169178009
/m/01_5g,Chopsticks,Lipstick,0.6621546745300293
/m/011k07,Tortoise,Tomato,0.6231676340103149
/m/012074,Magpie,Maple,0.5940868258476257
/m/0120dh,Sea turtle,Sea lion,0.7748106122016907
/m/01226z,Football,Football helmet,0.670170783996582
/m/012n7d,Ambulance,Limousine,0.6404281258583069
/m/012w5l,Ladder,Stairs,0.7240875363349915
/m/012xff,Toothbrush,Cutting board,0.6579540371894836
/m/012ysf,Syringe,Earring,0.6873606443405151
/m/0130jx,Sink,Shark,0.6522372961044312
/m/013y1f,Organ (Musical Instrument),Violin,0.6286110281944275
/m/01432t,Cassette deck,Desk,0.623248815536499
/m/014j1m,Apple,Ipod,0.714795708656311
/m/014sv8,Human eye,Human face,0.8611117601394653
/m/014y4n,Paddle,Ladder,0.650242269039154
/m/0152hh,Snowman,Snowmobile,0.7003628611564636
/m/01599,Beer,Bee,0.6808227300643921
/m/015h_t,Beard,Lizard,0.6565685272216797
/m/015qbp,Parking meter,Stop sign,0.6133956909179688
/m/015qff,Traffic light,Street light,0.8401845693588257
/m/015wgc,Croissant,French fries,0.5828832983970642
/m/015x4r,Cucumber,Cabbage,0.6687799096107483
/m/015x5n,Radish,Porch,0.5825583934783936
/m/0162_1,Towel,Paper towel,0.8845781683921814
/m/0167gd,Doll,Girl,0.6655110120773315
/m/016m2d,Skull,Sword,0.7009667754173279
/m/0174k2,Washing machine,Sewing machine,0.8303818106651306
/m/0175cv,Tick,Sock,0.6697924733161926
/m/0176mf,Belt,Seat belt,0.6977989673614502
/m/017ftj,Sunglasses,Glasses,0.8600726127624512
/m/018j2,Banjo,Cello,0.6316832304000854
/m/018p4k,Cart,Golf cart,0.7359228134155273
/m/01940j,Backpack,Handbag,0.699838399887085
/m/019h78,Centipede,Antelope,0.5853723287582397
/m/019w40,Surfboard,Snowboard,0.809689998626709
/m/01b638,Boot,Bomb,0.601365327835083
/m/01b7fy,Headphones,Microphone,0.8033880591392517
/m/01b9xk,Hot dog,Dog,0.7562713027000427
/m/01bfm9,Shorts,Jeans,0.7031956911087036
/m/01bjv,Bus,Train,0.6898168921470642
/m/01bl7v,Boy,Girl,0.6624712347984314
/m/01bms0,Screwdriver,Scissors,0.6727318167686462
/m/01bqk0,Bicycle wheel,Wheel,0.76131272315979
/m/01btn,Barge,Barrel,0.6233790516853333
