LabelName,TextName,ParentLabelName,ParentTextName,Depth,PathLabelName,PathTextName
/m/0242l,Coin,/m/0bl9f,/m/0bl9f,1,/m/0bl9f > /m/0242l,/m/0bl9f > Coin
/m/03120,Flag,/m/0bl9f,/m/0bl9f,1,/m/0bl9f > /m/03120,/m/0bl9f > Flag
/m/0h8l4fh,Light bulb,/m/0bl9f,/m/0bl9f,1,/m/0bl9f > /m/0h8l4fh,/m/0bl9f > Light bulb
/m/0167gd,Doll,/m/0138tl,Toy,2,/m/0bl9f > /m/0138tl > /m/0167gd,/m/0bl9f > Toy > Doll
/m/01j51,Balloon,/m/0138tl,Toy,2,/m/0bl9f > /m/0138tl > /m/01j51,/m/0bl9f > Toy > Balloon
/m/029b3,Dice,/m/0138tl,Toy,2,/m/0bl9f > /m/0138tl > /m/029b3,/m/0bl9f > Toy > Dice
/m/02wmf,Flying disc,/m/0138tl,Toy,2,/m/0bl9f > /m/0138tl > /m/02wmf,/m/0bl9f > Toy > Flying disc
/m/02zt3,Kite,/m/0138tl,Toy,2,/m/0bl9f > /m/0138tl > /m/02zt3,/m/0bl9f > Toy > Kite
/m/0kmg4,Teddy bear,/m/0138tl,Toy,2,/m/0bl9f > /m/0138tl > /m/0kmg4,/m/0bl9f > Toy > Teddy bear
/m/0174k2,Washing machine,/m/019dx1,Home appliance,2,/m/0bl9f > /m/019dx1 > /m/0174k2,/m/0bl9f > Home appliance > Washing machine
/m/01k6s3,Toaster,/m/019dx1,Home appliance,2,/m/0bl9f > /m/019dx1 > /m/01k6s3,/m/0bl9f > Home appliance > Toaster
/m/029bxz,Oven,/m/019dx1,Home appliance,2,/m/0bl9f > /m/019dx1 > /m/029bxz,/m/0bl9f > Home appliance > Oven
/m/02pjr4,Blender,/m/019dx1,Home appliance,2,/m/0bl9f > /m/019dx1 > /m/02pjr4,/m/0bl9f > Home appliance > Blender
/m/02wv84t,Gas stove,/m/019dx1,Home appliance,2,/m/0bl9f > /m/019dx1 > /m/02wv84t,/m/0bl9f > Home appliance > Gas stove
