CategoryLabelName,CategoryTextName,LabelName1,TextName1,LabelName2,TextName2,CosineSimilarity
/m/0138tl,Toy,/m/0167gd,Doll,/m/01j51,Balloon,0.5293357372283936
/m/0138tl,Toy,/m/0167gd,Doll,/m/029b3,Dice,0.4759517312049866
/m/0138tl,Toy,/m/0167gd,Doll,/m/02wmf,Flying disc,0.43858465552330017
/m/0138tl,Toy,/m/0167gd,Doll,/m/02zt3,Kite,0.4124937653541565
/m/0138tl,Toy,/m/0167gd,Doll,/m/0kmg4,Teddy bear,0.49923038482666016
/m/0138tl,Toy,/m/01j51,Balloon,/m/029b3,Dice,0.3774964213371277
/m/0138tl,Toy,/m/01j51,Balloon,/m/02wmf,Flying disc,0.5340421199798584
/m/0138tl,Toy,/m/01j51,Balloon,/m/02zt3,Kite,0.37323325872421265
/m/0138tl,Toy,/m/01j51,Balloon,/m/0kmg4,Teddy bear,0.47438496351242065
/m/0138tl,Toy,/m/029b3,Dice,/m/02wmf,Flying disc,0.4751982092857361
/m/0138tl,Toy,/m/029b3,Dice,/m/02zt3,Kite,0.4908313751220703
/m/0138tl,Toy,/m/029b3,Dice,/m/0kmg4,Teddy bear,0.40175554156303406
/m/0138tl,Toy,/m/02wmf,Flying disc,/m/02zt3,Kite,0.41629183292388916
/m/0138tl,Toy,/m/02wmf,Flying disc,/m/0kmg4,Teddy bear,0.4777252674102783
/m/0138tl,Toy,/m/02zt3,Kite,/m/0kmg4,Teddy bear,0.4425458312034607
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/01k6s3,Toaster,0.5919367074966431
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/029bxz,Oven,0.6523128747940063
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/02pjr4,Blender,0.5475745797157288
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/02wv84t,Gas stove,0.540015459060669
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/02x984l,Mechanical fan,0.6021562218666077
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/03qhv5,Heater,0.6174745559692383
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/03s_tn,Kettle,0.5652264952659607
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/03wvsk,Hair dryer,0.7484985589981079
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/040b_t,Refrigerator,0.6427329778671265
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/04169hn,Wood-burning stove,0.5573019981384277
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/04lvq_,Humidifier,0.5300850868225098
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/063rgb,Mixer,0.6296389102935791
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/07xyvk,Coffeemaker,0.531092643737793
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/0fx9l,Microwave oven,0.6492639780044556
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/0ky7b,Dishwasher,0.7974499464035034
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/0llzx,Sewing machine,0.8303817510604858
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/0c3m8g,Hand dryer,0.7565156817436218
/m/019dx1,Home appliance,/m/0174k2,Washing machine,/m/03ldnb,Ceiling fan,0.5755981802940369
/m/019dx1,Home appliance,/m/01k6s3,Toaster,/m/029bxz,Oven,0.642747163772583
/m/019dx1,Home appliance,/m/01k6s3,Toaster,/m/02pjr4,Blender,0.5632282495498657
