LabelName,DisplayName,Top1Name,Top1Cosine,Top2Name,Top2Cosine,Top3Name,Top3Cosine,Top4Name,Top4Cosine,Top5Name,Top5Cosine
/m/0_cp5,Oyster,Lobster,0.7183272838592529,Otter,0.7035731077194214,,,,,,
/m/0_dqb,Chisel,,,,,,,,,,
/m/0_k2,Ant,,,,,,,,,,
/m/01_5g,Chopsticks,,,,,,,,,,
/m/011k07,Tortoise,,,,,,,,,,
/m/012074,Magpie,,,,,,,,,,
/m/0120dh,Sea turtle,Sea lion,0.7748106122016907,,,,,,,,
/m/01226z,Football,,,,,,,,,,
/m/012n7d,Ambulance,,,,,,,,,,
/m/012w5l,Ladder,Stairs,0.7240875363349915,,,,,,,,
/m/012xff,Toothbrush,,,,,,,,,,
/m/012ysf,Syringe,,,,,,,,,,
/m/0130jx,Sink,,,,,,,,,,
/m/013y1f,Organ (Musical Instrument),,,,,,,,,,
/m/01432t,Cassette deck,,,,,,,,,,
/m/014j1m,Apple,Ipod,0.714795708656311,,,,,,,,
/m/014sv8,Human eye,Human face,0.8611117601394653,Human head,0.8124304413795471,Human ear,0.7957192659378052,Human hand,0.7937971949577332,Human mouth,0.7870151400566101
/m/014y4n,Paddle,,,,,,,,,,
/m/0152hh,Snowman,Snowmobile,0.7003628611564636,,,,,,,,
/m/01599,Beer,,,,,,,,,,
/m/015h_t,Beard,,,,,,,,,,
/m/015qbp,Parking meter,,,,,,,,,,
/m/015qff,Traffic light,Street light,0.8401845693588257,Light switch,0.7314752340316772,Light bulb,0.7190295457839966,,,,
/m/015wgc,Croissant,,,,,,,,,,
/m/015x4r,Cucumber,,,,,,,,,,
/m/015x5n,Radish,,,,,,,,,,
/m/0162_1,Towel,Paper towel,0.8845781683921814,,,,,,,,
/m/0167gd,Doll,,,,,,,,,,
/m/016m2d,Skull,Sword,0.7009667754173279,,,,,,,,
/m/0174k2,Washing machine,Sewing machine,0.8303818106651306,Dishwasher,0.7974498271942139,Hand dryer,0.7565156817436218,Hair dryer,0.7484984993934631,,
/m/0175cv,Tick,,,,,,,,,,
/m/0176mf,Belt,,,,,,,,,,
/m/017ftj,Sunglasses,Glasses,0.8600726127624512,Goggles,0.8429244756698608,Headphones,0.7228364944458008,Binoculars,0.7116813063621521,,
/m/018j2,Banjo,,,,,,,,,,
/m/018p4k,Cart,Golf cart,0.7359228134155273,,,,,,,,
/m/01940j,Backpack,,,,,,,,,,
/m/019h78,Centipede,,,,,,,,,,
/m/019w40,Surfboard,Snowboard,0.809689998626709,Skateboard,0.7611640691757202,Cupboard,0.7226859927177429,,,,
/m/01b638,Boot,,,,,,,,,,
/m/01b7fy,Headphones,Microphone,0.8033880591392517,Earring,0.7361526489257812,Sunglasses,0.7228364944458008,,,,
/m/01b9xk,Hot dog,Dog,0.7562713027000427,,,,,,,,
/m/01bfm9,Shorts,Jeans,0.7031956911087036,,,,,,,,
/m/01bjv,Bus,,,,,,,,,,
/m/01bl7v,Boy,,,,,,,,,,
/m/01bms0,Screwdriver,,,,,,,,,,
