LabelName,DisplayName,Top1Name,Top1Cosine,Top2Name,Top2Cosine,Top3Name,Top3Cosine,Top4Name,Top4Cosine,Top5Name,Top5Cosine
/m/0242l,Coin,Cookie,0.6144150495529175,Cookie,0.6144150495529175,Cookie,0.6144150495529175,Rifle,0.6099564433097839,Rifle,0.6099564433097839
/m/03120,Flag,Eagle,0.5778165459632874,Candle,0.5746254324913025,Lamp,0.5716723203659058,Billboard,0.5692166686058044,Pig,0.5647486448287964
/m/0h8l4fh,Light bulb,Light switch,0.7799646854400635,Light switch,0.7799646854400635,Street light,0.7429167628288269,Traffic light,0.7190295457839966,Lamp,0.715144157409668
/m/0167gd,Doll,Girl,0.6655110120773315,Dog,0.64084392786026,Dress,0.6024502515792847,Duck,0.6000397205352783,Woman,0.5990229249000549
/m/01j51,Balloon,Bomb,0.6650712490081787,Bomb,0.6650712490081787,Bottle,0.6400188207626343,Bottle,0.6400188207626343,Bottle,0.6400188207626343
/m/029b3,Dice,Tick,0.5958365797996521,Necklace,0.5938012003898621,Cake,0.5683468580245972,Juice,0.5619990229606628,Chime,0.5559453368186951
/m/02wmf,Flying disc,Flying disc,1.000000238418579,Flying disc,1.000000238418579,Rays and skates,0.5947551131248474,Roller skates,0.5939520001411438,Roller skates,0.5939520001411438
/m/02zt3,Kite,Kettle,0.6206172704696655,Chime,0.6045970916748047,Chime,0.6045970916748047,Cat,0.5841482877731323,Skateboard,0.5777489542961121
/m/0kmg4,Teddy bear,Teddy bear,1.0,Brown bear,0.6796544194221497,Polar bear,0.6793117523193359,Dog bed,0.5900181531906128,Dog,0.5887008905410767
/m/0174k2,Washing machine,Sewing machine,0.8303818106651306,Dishwasher,0.7974499464035034,Dishwasher,0.7974499464035034,Hand dryer,0.7565157413482666,Hair dryer,0.7484985589981079
/m/01k6s3,Toaster,Lobster,0.6940268278121948,Lobster,0.6940268278121948,Lobster,0.6940268278121948,Heater,0.6446993350982666,Oven,0.6427470445632935
/m/029bxz,Oven,Oven,1.0000001192092896,Microwave oven,0.7264290452003479,Microwave oven,0.7264290452003479,Frying pan,0.6770138740539551,Heater,0.6629840731620789
/m/02pjr4,Blender,Blender,1.0,Grinder,0.7413555383682251,Grinder,0.7413555383682251,Mixer,0.6959434747695923,Mixer,0.6959434747695923
/m/02wv84t,Gas stove,Wood-burning stove,0.7903971672058105,Microwave oven,0.6219406723976135,Microwave oven,0.6219406127929688,Oven,0.6134059429168701,Oven,0.6134059429168701
/m/02x984l,Mechanical fan,Ceiling fan,0.7712600827217102,Frying pan,0.6087930798530579,Washing machine,0.6021562218666077,Sewing machine,0.583342969417572,Heater,0.5767195224761963
/m/03qhv5,Heater,Mixer,0.7002164721488953,Mixer,0.7002164721488953,Refrigerator,0.6893760561943054,Refrigerator,0.6893760561943054,Beaker,0.6768456101417542
/m/03s_tn,Kettle,Heater,0.6554902791976929,Candle,0.6374917030334473,Cart,0.6241434812545776,Kitchen knife,0.6213278770446777,Kite,0.6206172704696655
/m/03wvsk,Hair dryer,Hand dryer,0.8417825102806091,Washing machine,0.7484985589981079,Hair spray,0.7184826135635376,Dishwasher,0.7099786400794983,Dishwasher,0.7099786400794983
/m/040b_t,Refrigerator,Refrigerator,1.0,Heater,0.6893760561943054,Dishwasher,0.648942232131958,Dishwasher,0.648942232131958,Oven,0.6438824534416199
/m/04169hn,Wood-burning stove,Gas stove,0.7903971672058105,Frying pan,0.6596057415008545,Fireplace,0.651494026184082,Oven,0.6505424380302429,Oven,0.6505424380302429
/m/04lvq_,Humidifier,Heater,0.6361083388328552,Hair dryer,0.6208719611167908,Fire hydrant,0.6005205512046814,Hand dryer,0.5929816961288452,Mixer,0.5800803303718567
/m/063rgb,Mixer,Mixer,1.0000001192092896,Mixing bowl,0.7681723833084106,Grinder,0.7473479509353638,Grinder,0.7473479509353638,Heater,0.7002164721488953
/m/07xyvk,Coffeemaker,Coffeemaker,1.000000238418579,Coffee cup,0.735859751701355,Coffee table,0.6949459910392761,Coffee (drink),0.6324852705001831,Tea,0.628654956817627
/m/0fx9l,Microwave oven,Microwave oven,0.9999998807907104,Oven,0.7264290452003479,Oven,0.7264290452003479,Washing machine,0.6492642760276794,Gas stove,0.6219406127929688
/m/0ky7b,Dishwasher,Dishwasher,0.9999998211860657,Washing machine,0.7974499464035034,Hair dryer,0.7099786400794983,Hand dryer,0.7030864357948303,Sewing machine,0.6559877395629883
/m/0llzx,Sewing machine,Washing machine,0.8303818106651306,Hand dryer,0.6996200084686279,Hair dryer,0.6911147236824036,Printer,0.6610127091407776,Printer,0.6610127091407776
/m/0c3m8g,Hand dryer,Hair dryer,0.8417825102806091,Washing machine,0.7565157413482666,Human hand,0.7373823523521423,Human hand,0.7373823523521423,Human hand,0.7373823523521423
/m/03ldnb,Ceiling fan,Mechanical fan,0.7712600827217102,Wall clock,0.6166501641273499,Wall clock,0.6166501641273499,Sewing machine,0.6071323752403259,Frying pan,0.602659285068512
/m/0130jx,Sink,Shark,0.6522372364997864,Tick,0.6251165866851807,Skunk,0.6235275864601135,Swimwear,0.5882419347763062,Sock,0.5848455429077148
/m/01vbnl,Bidet,Bathtub,0.6913276314735413,Toilet,0.6893998384475708,Rabbit,0.6320254802703857,Bathroom cabinet,0.6291682720184326,Swimming pool,0.6244663000106812
/m/02f9f_,Shower,Swimming pool,0.6558938026428223,Fountain,0.6426908373832703,Bathtub,0.6390392184257507,Window,0.6271131038665771,Mixer,0.6268988847732544
/m/02jz0l,Tap,Tick,0.6539865732192993,Tie,0.6429343223571777,Tea,0.6332204937934875,Tire,0.6113118529319763,Tire,0.6113118529319763
/m/03dnzn,Bathtub,Bathroom cabinet,0.7253381609916687,Swimming pool,0.7104125022888184,Toilet,0.7023617029190063,Bidet,0.6913276314735413,Swimwear,0.6630454659461975
/m/09g1w,Toilet,Toilet paper,0.819168746471405,Toilet paper,0.8191686868667603,Bathtub,0.7023617029190063,Bidet,0.6893998384475708,Swimming pool,0.6621686816215515
/m/01lsmm,Scissors,Scissors,0.9999999403953552,Scissors,0.9999999403953552,Screwdriver,0.672731876373291,Screwdriver,0.672731876373291,Eraser,0.6692306399345398
