LabelName,TextName,ParentLabelName,ParentTextName,Depth,PathLabelName,PathTextName
/m/0167gd,Doll,/m/0138tl,Toy,2,Extracted_Root > /m/0138tl > /m/0167gd,提取的倒数两层分类（已去除单成员分支） > Toy > Doll
/m/01j51,Balloon,/m/0138tl,Toy,2,Extracted_Root > /m/0138tl > /m/01j51,提取的倒数两层分类（已去除单成员分支） > Toy > Balloon
/m/029b3,Dice,/m/0138tl,Toy,2,Extracted_Root > /m/0138tl > /m/029b3,提取的倒数两层分类（已去除单成员分支） > Toy > Dice
/m/02wmf,Flying disc,/m/0138tl,Toy,2,Extracted_Root > /m/0138tl > /m/02wmf,提取的倒数两层分类（已去除单成员分支） > Toy > Flying disc
/m/02zt3,Kite,/m/0138tl,Toy,2,Extracted_Root > /m/0138tl > /m/02zt3,提取的倒数两层分类（已去除单成员分支） > Toy > Kite
/m/0kmg4,Teddy bear,/m/0138tl,Toy,2,Extracted_Root > /m/0138tl > /m/0kmg4,提取的倒数两层分类（已去除单成员分支） > Toy > Teddy bear
/m/0174k2,Washing machine,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/0174k2,提取的倒数两层分类（已去除单成员分支） > Home appliance > Washing machine
/m/01k6s3,Toaster,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/01k6s3,提取的倒数两层分类（已去除单成员分支） > Home appliance > Toaster
/m/029bxz,Oven,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/029bxz,提取的倒数两层分类（已去除单成员分支） > Home appliance > Oven
/m/02pjr4,Blender,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/02pjr4,提取的倒数两层分类（已去除单成员分支） > Home appliance > Blender
/m/02wv84t,Gas stove,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/02wv84t,提取的倒数两层分类（已去除单成员分支） > Home appliance > Gas stove
/m/02x984l,Mechanical fan,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/02x984l,提取的倒数两层分类（已去除单成员分支） > Home appliance > Mechanical fan
/m/03qhv5,Heater,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/03qhv5,提取的倒数两层分类（已去除单成员分支） > Home appliance > Heater
/m/03s_tn,Kettle,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/03s_tn,提取的倒数两层分类（已去除单成员分支） > Home appliance > Kettle
/m/03wvsk,Hair dryer,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/03wvsk,提取的倒数两层分类（已去除单成员分支） > Home appliance > Hair dryer
/m/040b_t,Refrigerator,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/040b_t,提取的倒数两层分类（已去除单成员分支） > Home appliance > Refrigerator
/m/04169hn,Wood-burning stove,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/04169hn,提取的倒数两层分类（已去除单成员分支） > Home appliance > Wood-burning stove
/m/04lvq_,Humidifier,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/04lvq_,提取的倒数两层分类（已去除单成员分支） > Home appliance > Humidifier
/m/063rgb,Mixer,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/063rgb,提取的倒数两层分类（已去除单成员分支） > Home appliance > Mixer
/m/07xyvk,Coffeemaker,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/07xyvk,提取的倒数两层分类（已去除单成员分支） > Home appliance > Coffeemaker
/m/0fx9l,Microwave oven,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/0fx9l,提取的倒数两层分类（已去除单成员分支） > Home appliance > Microwave oven
/m/0ky7b,Dishwasher,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/0ky7b,提取的倒数两层分类（已去除单成员分支） > Home appliance > Dishwasher
/m/0llzx,Sewing machine,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/0llzx,提取的倒数两层分类（已去除单成员分支） > Home appliance > Sewing machine
/m/0c3m8g,Hand dryer,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/0c3m8g,提取的倒数两层分类（已去除单成员分支） > Home appliance > Hand dryer
/m/03ldnb,Ceiling fan,/m/019dx1,Home appliance,2,Extracted_Root > /m/019dx1 > /m/03ldnb,提取的倒数两层分类（已去除单成员分支） > Home appliance > Ceiling fan
/m/0130jx,Sink,/m/02pkr5,Plumbing fixture,2,Extracted_Root > /m/02pkr5 > /m/0130jx,提取的倒数两层分类（已去除单成员分支） > Plumbing fixture > Sink
/m/01vbnl,Bidet,/m/02pkr5,Plumbing fixture,2,Extracted_Root > /m/02pkr5 > /m/01vbnl,提取的倒数两层分类（已去除单成员分支） > Plumbing fixture > Bidet
/m/02f9f_,Shower,/m/02pkr5,Plumbing fixture,2,Extracted_Root > /m/02pkr5 > /m/02f9f_,提取的倒数两层分类（已去除单成员分支） > Plumbing fixture > Shower
/m/02jz0l,Tap,/m/02pkr5,Plumbing fixture,2,Extracted_Root > /m/02pkr5 > /m/02jz0l,提取的倒数两层分类（已去除单成员分支） > Plumbing fixture > Tap
/m/03dnzn,Bathtub,/m/02pkr5,Plumbing fixture,2,Extracted_Root > /m/02pkr5 > /m/03dnzn,提取的倒数两层分类（已去除单成员分支） > Plumbing fixture > Bathtub
/m/09g1w,Toilet,/m/02pkr5,Plumbing fixture,2,Extracted_Root > /m/02pkr5 > /m/09g1w,提取的倒数两层分类（已去除单成员分支） > Plumbing fixture > Toilet
/m/01lsmm,Scissors,/m/02rdsp,Office supplies,2,Extracted_Root > /m/02rdsp > /m/01lsmm,提取的倒数两层分类（已去除单成员分支） > Office supplies > Scissors
/m/01n5jq,Poster,/m/02rdsp,Office supplies,2,Extracted_Root > /m/02rdsp > /m/01n5jq,提取的倒数两层分类（已去除单成员分支） > Office supplies > Poster
/m/024d2,Calculator,/m/02rdsp,Office supplies,2,Extracted_Root > /m/02rdsp > /m/024d2,提取的倒数两层分类（已去除单成员分支） > Office supplies > Calculator
/m/025dyy,Box,/m/02rdsp,Office supplies,2,Extracted_Root > /m/02rdsp > /m/025dyy,提取的倒数两层分类（已去除单成员分支） > Office supplies > Box
/m/025fsf,Stapler,/m/02rdsp,Office supplies,2,Extracted_Root > /m/02rdsp > /m/025fsf,提取的倒数两层分类（已去除单成员分支） > Office supplies > Stapler
/m/02d9qx,Whiteboard,/m/02rdsp,Office supplies,2,Extracted_Root > /m/02rdsp > /m/02d9qx,提取的倒数两层分类（已去除单成员分支） > Office supplies > Whiteboard
