"LabelName",DisplayName
"/m/0167gd",Doll
"/m/01j51",Balloon
"/m/029b3",Dice
"/m/02wmf",Flying disc
"/m/02zt3",Kite
"/m/0kmg4",Teddy bear
"/m/0174k2",Washing machine
"/m/01k6s3",Toaster
"/m/029bxz",Oven
"/m/02pjr4",Blender
"/m/02wv84t",Gas stove
"/m/02x984l",Mechanical fan
"/m/03qhv5",Heater
"/m/03s_tn",Kettle
"/m/03wvsk",Hair dryer
"/m/040b_t",Refrigerator
"/m/04169hn",Wood-burning stove
"/m/04lvq_",Humidifier
"/m/063rgb",Mixer
"/m/07xyvk",Coffeemaker
"/m/0fx9l",Microwave oven
"/m/0ky7b",Dishwasher
"/m/0llzx",Sewing machine
"/m/0c3m8g",Hand dryer
"/m/03ldnb",Ceiling fan
"/m/0130jx","Sink"
"/m/01vbnl","Bidet"
"/m/02f9f_","Shower"
"/m/02jz0l","Tap"
"/m/03dnzn","Bathtub"
"/m/09g1w","Toilet"
"/m/01lsmm","Scissors"
"/m/01n5jq","Poster"
"/m/024d2","Calculator"
"/m/025dyy","Box"
"/m/025fsf","Stapler"
"/m/02d9qx","Whiteboard"
"/m/02ddwp","Pencil sharpener"
"/m/02fh7f","Eraser"
"/m/02xqq","Fax"
"/m/03m3vtv","Adhesive tape"
"/m/04zwwv","Ring binder"
"/m/05676x","Pencil case"
"/m/05gqfk","Plastic bag"
"/m/080n7g","Paper cutter"
"/m/09gtd","Toilet paper"
"/m/0frqm","Envelope"
"/m/0k1tl","Pen"
"/m/01_5g","Chopsticks"
"/m/027rl48","Ladle"
"/m/02d1br","Spatula"
"/m/02mqfb","Can opener"
"/m/02pdsw","Cutting board"
"/m/02vwcm","Whisk"
"/m/03v5tg","Drinking straw"
"/m/04ctx","Knife"
"/m/04f5ws","Bottle opener"
"/m/07v9_z","Measuring cup"
"/m/08ks85","Pizza cutter"
"/m/0cmx8","Spoon"
"/m/0dt3t","Fork"
"/m/01_5g","Chopsticks"
"/m/01fh4r","Teapot"
"/m/02jvh9","Mug"
"/m/02p5f1q","Coffee cup"
"/m/02x8cch","Salt and pepper shakers"
"/m/03hj559","Mixing bowl"
"/m/03q5c7","Saucer"
"/m/0440zs","Cocktail shaker"
"/m/04dr76w","Bottle"
"/m/04kkgm","Bowl"
"/m/050gv4","Plate"
"/m/054fyh","Pitcher (Container)"
"/m/058qzx","Kitchen knife"
"/m/08hvt4","Jug"
"/m/099ssp","Platter"
"/m/09tvcd","Wine glass"
"/m/0cmx8","Spoon"
"/m/0dt3t","Fork"
"/m/0h8n27j","Serving tray"
"/m/0h8n6ft","Cake stand"
"/m/029bxz","Oven"
"/m/02pjr4","Blender"
"/m/02tsc9","Slow cooker"
"/m/03y6mg","Food processor"
"/m/040b_t","Refrigerator"
"/m/04z4wx","Waffle iron"
"/m/063rgb","Mixer"
"/m/07xyvk","Coffeemaker"
"/m/0fx9l","Microwave oven"
"/m/0h8ntjv","Pressure cooker"
"/m/0ky7b","Dishwasher"
"/m/03m3pdh","Sofa bed"
"/m/0703r8","Loveseat"
"/m/061hd_","Infant bed"
"/m/026qbn5","Studio couch"
"/m/078n6m","Coffee table"
"/m/0h8n5zk","Kitchen & dining room table"
"/m/046dlr","Alarm clock"
"/m/06_72j","Digital clock"
"/m/0h8mzrc","Wall clock"
"/m/0152hh","Snowman"
"/m/04yqq2","Bust"
"/m/01yx86","Bronze sculpture"
"/m/0162_1","Towel"
"/m/09gtd","Toilet paper"
