LabelName,DisplayName,Top1Name,Top1Value
/m/0167gd,Doll,Duck,0.6000397205352783
/m/01j51,Balloon,Bomb,0.6650712490081787
/m/029b3,Dice,Cake,0.5683468580245972
/m/02wmf,Flying disc,Rays and skates,0.5947551727294922
/m/02zt3,Kite,Kettle,0.6206172704696655
/m/0kmg4,Teddy bear,Teddy bear,1.0
/m/0174k2,Washing machine,Sewing machine,0.8303817510604858
/m/01k6s3,Toaster,Lobster,0.6940268278121948
/m/029bxz,Oven,Oven,1.0000001192092896
/m/02pjr4,Blender,Blender,1.0
/m/02wv84t,Gas stove,Wood-burning stove,0.7903971672058105
/m/02x984l,Mechanical fan,Ceiling fan,0.7712600231170654
/m/03qhv5,Heater,Mixer,0.7002164721488953
/m/03s_tn,Kettle,Heater,0.6554902791976929
/m/03wvsk,Hair dryer,Hand dryer,0.8417825102806091
/m/040b_t,Refrigerator,Refrigerator,1.0000001192092896
/m/04169hn,Wood-burning stove,Gas stove,0.7903971672058105
/m/04lvq_,Humidifier,Heater,0.6361083388328552
/m/063rgb,Mixer,Mixer,1.0000001192092896
/m/07xyvk,Coffeemaker,Coffeemaker,1.000000238418579
/m/0fx9l,Microwave oven,Microwave oven,0.9999998807907104
/m/0ky7b,Dishwasher,Dishwasher,0.9999998211860657
/m/0llzx,Sewing machine,Washing machine,0.8303817510604858
/m/0c3m8g,Hand dryer,Hair dryer,0.8417825102806091
/m/03ldnb,Ceiling fan,Mechanical fan,0.7712600231170654
/m/0130jx,Sink,Shark,0.6522372364997864
/m/01vbnl,Bidet,Bathtub,0.6913276314735413
/m/02f9f_,Shower,Bathtub,0.6390392184257507
/m/02jz0l,Tap,Tea,0.6332204937934875
/m/03dnzn,Bathtub,Toilet,0.7023617029190063
/m/09g1w,Toilet,Toilet paper,0.819168746471405
/m/01lsmm,Scissors,Eraser,0.6692306399345398
/m/01n5jq,Poster,Mixer,0.6123605966567993
/m/024d2,Calculator,Mixer,0.6185206174850464
/m/025dyy,Box,Cookie,0.6241111755371094
/m/025fsf,Stapler,Stretcher,0.6326170563697815
/m/02d9qx,Whiteboard,Cutting board,0.6478022336959839
/m/02ddwp,Pencil sharpener,Pencil case,0.6902112364768982
/m/02fh7f,Eraser,Scissors,0.6692306399345398
/m/02xqq,Fax,Axe,0.6034053564071655
/m/03m3vtv,Adhesive tape,Toilet paper,0.6272792220115662
/m/04zwwv,Ring binder,Seat belt,0.6072285175323486
/m/05676x,Pencil case,Pencil sharpener,0.6902112364768982
/m/05gqfk,Plastic bag,Handbag,0.7172475457191467
/m/080n7g,Paper cutter,Cutting board,0.7997254133224487
/m/09gtd,Toilet paper,Toilet paper,1.0
/m/0frqm,Envelope,Backpack,0.6185321807861328
/m/0k1tl,Pen,Pencil case,0.6585997939109802
/m/01_5g,Chopsticks,Chopsticks,1.0000001192092896
/m/027rl48,Ladle,Ladle,1.0
/m/02d1br,Spatula,Spatula,0.9999998807907104
/m/02mqfb,Can opener,Can opener,1.000000238418579
/m/02pdsw,Cutting board,Cutting board,1.0000001192092896
/m/02vwcm,Whisk,Whisk,1.000000238418579
/m/03v5tg,Drinking straw,Drinking straw,1.0000001192092896
/m/04ctx,Knife,Knife,0.9999999403953552
/m/04f5ws,Bottle opener,Bottle opener,0.9999998211860657
/m/07v9_z,Measuring cup,Measuring cup,1.0
/m/08ks85,Pizza cutter,Pizza cutter,1.000000238418579
/m/0cmx8,Spoon,Spoon,1.0000001192092896
/m/0dt3t,Fork,Fork,0.9999999403953552
/m/01_5g,Chopsticks,Chopsticks,1.0000001192092896
/m/01fh4r,Teapot,Flowerpot,0.7721988558769226
/m/02jvh9,Mug,Handbag,0.6007813215255737
/m/02p5f1q,Coffee cup,Coffee table,0.8484094738960266
/m/02x8cch,Salt and pepper shakers,Cocktail shaker,0.6348881721496582
/m/03hj559,Mixing bowl,Mixer,0.7681723833084106
/m/03q5c7,Saucer,Hamburger,0.6355019211769104
/m/0440zs,Cocktail shaker,Cocktail,0.7877891063690186
/m/04dr76w,Bottle,Bottle,1.0
/m/04kkgm,Bowl,Mixing bowl,0.7159383296966553
/m/050gv4,Plate,Platter,0.7597761750221252
