CategoryLabelName,CategoryTextName,LabelName,TextName,Top1Name,Top1Value,Top2Name,Top2Value,Top3Name,Top3Value,Top4Name,Top4Value,Top5Name,Top5Value
/m/0138tl,Toy,/m/0167gd,Doll,Balloon,0.9702208042144775,Teddy bear,1.0007693767547607,Dice,1.023766040802002,Flying disc,1.059637188911438,Kite,1.0839799642562866
/m/0138tl,Toy,/m/01j51,Balloon,Flying disc,0.965357780456543,Doll,0.9702208042144775,Teddy bear,1.0252950191497803,Dice,1.1157989501953125,Kite,1.1196130514144897
/m/0138tl,Toy,/m/029b3,Dice,Kite,1.009127140045166,Doll,1.023766040802002,Flying disc,1.0245018005371094,Teddy bear,1.093841552734375,Balloon,1.1157989501953125
/m/0138tl,Toy,/m/02wmf,Flying disc,Balloon,0.965357780456543,Teddy bear,1.0220321416854858,Dice,1.0245018005371094,Doll,1.059637188911438,Kite,1.0804705619812012
/m/0138tl,Toy,/m/02zt3,Kite,Dice,1.009127140045166,Teddy bear,1.0558922290802002,Flying disc,1.0804705619812012,Doll,1.0839799642562866,Balloon,1.1196130514144897
/m/0138tl,Toy,/m/0kmg4,Teddy bear,Doll,1.0007693767547607,Flying disc,1.0220321416854858,Balloon,1.0252950191497803,Kite,1.0558922290802002,Dice,1.093841552734375
/m/019dx1,Home appliance,/m/0174k2,Washing machine,Sewing machine,0.582440197467804,Dishwasher,0.6364750266075134,Hand dryer,0.6978313326835632,Hair dryer,0.7092270851135254,Oven,0.8338910937309265
/m/019dx1,Home appliance,/m/01k6s3,Toaster,Heater,0.8429718017578125,Oven,0.8452844023704529,Dishwasher,0.8777622580528259,Mixer,0.8815903663635254,Wood-burning stove,0.9030628204345703
/m/019dx1,Home appliance,/m/029bxz,Oven,Microwave oven,0.7396904230117798,Heater,0.8209946155548096,Washing machine,0.8338910937309265,Wood-burning stove,0.8360114693641663,Refrigerator,0.8439401984214783
/m/019dx1,Home appliance,/m/02pjr4,Blender,Mixer,0.779816210269928,Heater,0.8829535841941833,Coffeemaker,0.9018895626068115,Oven,0.9144642949104309,Refrigerator,0.9172769784927368
/m/019dx1,Home appliance,/m/02wv84t,Gas stove,Wood-burning stove,0.6474608182907104,Microwave oven,0.869550883769989,Oven,0.8793113231658936,Heater,0.9206544160842896,Toaster,0.9357231855392456
/m/019dx1,Home appliance,/m/02x984l,Mechanical fan,Ceiling fan,0.6763724088668823,Washing machine,0.8920133113861084,Sewing machine,0.9128605127334595,Heater,0.9200876951217651,Hair dryer,0.9306837916374207
/m/019dx1,Home appliance,/m/03qhv5,Heater,Mixer,0.7743174433708191,Refrigerator,0.7881926894187927,Oven,0.8209946155548096,Kettle,0.8300722241401672,Toaster,0.8429718017578125
/m/019dx1,Home appliance,/m/03s_tn,Kettle,Heater,0.8300722241401672,Oven,0.9116026759147644,Sewing machine,0.929445743560791,Washing machine,0.9324951767921448,Blender,0.9409817457199097
/m/019dx1,Home appliance,/m/03wvsk,Hair dryer,Hand dryer,0.5625255703926086,Washing machine,0.7092270851135254,Dishwasher,0.7616055011749268,Sewing machine,0.7859840989112854,Heater,0.8606566786766052
/m/019dx1,Home appliance,/m/040b_t,Refrigerator,Heater,0.7881926894187927,Dishwasher,0.8379231095314026,Oven,0.8439401984214783,Washing machine,0.84530109167099,Mixer,0.8752591013908386
/m/019dx1,Home appliance,/m/04169hn,Wood-burning stove,Gas stove,0.6474608182907104,Oven,0.8360114693641663,Microwave oven,0.8773853182792664,Toaster,0.9030628204345703,Heater,0.9151055812835693
/m/019dx1,Home appliance,/m/04lvq_,Humidifier,Heater,0.8531023263931274,Hair dryer,0.8707790970802307,Hand dryer,0.9022399187088013,Mixer,0.916427493095398,Dishwasher,0.9207252860069275
/m/019dx1,Home appliance,/m/063rgb,Mixer,Heater,0.7743174433708191,Blender,0.779816210269928,Dishwasher,0.8505153656005859,Washing machine,0.8606523275375366,Hair dryer,0.8650574684143066
/m/019dx1,Home appliance,/m/07xyvk,Coffeemaker,Mixer,0.8997727036476135,Heater,0.899843156337738,Refrigerator,0.9012713432312012,Blender,0.9018895626068115,Oven,0.9575475454330444
/m/019dx1,Home appliance,/m/0fx9l,Microwave oven,Oven,0.7396904230117798,Washing machine,0.8375391960144043,Gas stove,0.869550883769989,Wood-burning stove,0.8773853182792664,Sewing machine,0.8880597949028015
