CategoryLabelName,CategoryTextName,LabelName,TextName,Top1Name,Top1Value
/m/0138tl,Toy,/m/0167gd,Doll,Balloon,0.9702208042144775
/m/0138tl,Toy,/m/01j51,Balloon,Flying disc,0.965357780456543
/m/0138tl,Toy,/m/029b3,Dice,Kite,1.009127140045166
/m/0138tl,Toy,/m/02wmf,Flying disc,Balloon,0.965357780456543
/m/0138tl,Toy,/m/02zt3,Kite,Dice,1.009127140045166
/m/0138tl,Toy,/m/0kmg4,Teddy bear,Doll,1.0007693767547607
/m/019dx1,Home appliance,/m/0174k2,Washing machine,Sewing machine,0.582440197467804
/m/019dx1,Home appliance,/m/01k6s3,Toaster,Heater,0.8429718017578125
/m/019dx1,Home appliance,/m/029bxz,Oven,Microwave oven,0.7396904230117798
/m/019dx1,Home appliance,/m/02pjr4,Blender,Mixer,0.779816210269928
/m/019dx1,Home appliance,/m/02wv84t,Gas stove,Wood-burning stove,0.6474608182907104
/m/019dx1,Home appliance,/m/02x984l,Mechanical fan,Ceiling fan,0.6763724088668823
/m/019dx1,Home appliance,/m/03qhv5,Heater,Mixer,0.7743174433708191
/m/019dx1,Home appliance,/m/03s_tn,Kettle,Heater,0.8300722241401672
/m/019dx1,Home appliance,/m/03wvsk,Hair dryer,Hand dryer,0.5625255703926086
/m/019dx1,Home appliance,/m/040b_t,Refrigerator,Heater,0.7881926894187927
/m/019dx1,Home appliance,/m/04169hn,Wood-burning stove,Gas stove,0.6474608182907104
/m/019dx1,Home appliance,/m/04lvq_,Humidifier,Heater,0.8531023263931274
/m/019dx1,Home appliance,/m/063rgb,Mixer,Heater,0.7743174433708191
/m/019dx1,Home appliance,/m/07xyvk,Coffeemaker,Mixer,0.8997727036476135
/m/019dx1,Home appliance,/m/0fx9l,Microwave oven,Oven,0.7396904230117798
/m/019dx1,Home appliance,/m/0ky7b,Dishwasher,Washing machine,0.6364750266075134
/m/019dx1,Home appliance,/m/0llzx,Sewing machine,Washing machine,0.582440197467804
/m/019dx1,Home appliance,/m/0c3m8g,Hand dryer,Hair dryer,0.5625255703926086
/m/019dx1,Home appliance,/m/03ldnb,Ceiling fan,Mechanical fan,0.6763724088668823
/m/02pkr5,Plumbing fixture,/m/0130jx,Sink,Shower,0.9156636595726013
/m/02pkr5,Plumbing fixture,/m/01vbnl,Bidet,Bathtub,0.785712718963623
/m/02pkr5,Plumbing fixture,/m/02f9f_,Shower,Bathtub,0.8496596217155457
/m/02pkr5,Plumbing fixture,/m/02jz0l,Tap,Toilet,0.941861629486084
/m/02pkr5,Plumbing fixture,/m/03dnzn,Bathtub,Toilet,0.7715418934822083
/m/02pkr5,Plumbing fixture,/m/09g1w,Toilet,Bathtub,0.7715418934822083
/m/02rdsp,Office supplies,/m/01lsmm,Scissors,Eraser,0.813350260257721
/m/02rdsp,Office supplies,/m/01n5jq,Poster,Adhesive tape,0.9178327322006226
/m/02rdsp,Office supplies,/m/024d2,Calculator,Paper cutter,0.9017283916473389
/m/02rdsp,Office supplies,/m/025dyy,Box,Envelope,0.9091241359710693
/m/02rdsp,Office supplies,/m/025fsf,Stapler,Poster,0.9762872457504272
/m/02rdsp,Office supplies,/m/02d9qx,Whiteboard,Toilet paper,0.9692159295082092
/m/02rdsp,Office supplies,/m/02ddwp,Pencil sharpener,Pencil case,0.7871323823928833
/m/02rdsp,Office supplies,/m/02fh7f,Eraser,Scissors,0.813350260257721
/m/02rdsp,Office supplies,/m/02xqq,Fax,Calculator,0.9342013597488403
